Year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2000,94.60942,90.41359,86.72521,72.49681,86.77765,89.25535,43.93841
2001,93.62982,90.75818,86.55417,79.55877,84.64182,89.77406,45.32078
2002,93.5188,90.74635,87.2801,84.91465,83.3847,90.4218,49.3431
2003,93.61063,89.84053,86.18149,84.57983,86.0685,94.62777,50.31728
2004,93.69879,90.28757,85.81006,86.90823,81.8939,93.73711,50.69916
2005,93.61631,90.27278,85.89088,86.63929,82.89122,92.10031,53.97531
2006,92.65063,91.02672,87.34028,86.05047,82.94225,90.2044,54.65829
2007,93.21944,91.77103,87.47836,85.99592,85.71805,89.42699,60.29198
2008,92.77732,91.27457,87.79691,86.21427,88.03267,89.68103,61.86944
2009,93.19869,90.55426,90.1558,86.5593,81.66975,89.74765,61.94443
2010,93.81058,91.66375,91.16809,88.60347,82.82121,92.26746,60.39436
2011,94.70987,92.17912,92.12753,88.69044,84.14629,88.82055,63.72617
2012,94.11529,92.51871,91.79063,88.89966,79.12828,89.5258,63.92554
2013,93.92145,92.27906,88.85775,88.28045,78.36509,89.83479,64.91223
2014,93.91482,91.81932,88.98624,88.80562,80.18569,91.37319,65.16134
2015,93.86743,92.58536,90.22181,88.66573,79.27227,85.74327,65.45689
2016,93.44559,91.69187,90.77425,89.18925,79.28641,86.27456,66.42729
2017,93.35289,91.6473,90.63464,88.66542,77.93347,78.16135,64.9461
2018,93.34955,91.05022,90.74046,88.75928,82.04487,80.03766,64.81829